nombre,precio,ubicacion,enlace,habitaciones,baños,metros_cuadrados
Apartamento en ECHO zona 14,"$ 2,500 mant incluido + iva","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-echo-zona-14-daa43616/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 145 m2
Apartamento en Renta y Venta Zona 14,"$ 2,500","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-y-venta-zona-14-daa43607/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 146 m2
Apartamento Amueblado en Renta Zona 14 codig...,$ 900,"Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-amueblado-en-renta-zona-14-codigoca34654-caa13491/,Dormitorios: 2,Baños: 1,Tamaño de la propiedad: 70 m2
Apartamento en renta zona 14 Área de Las Amé...,"$ 2,200","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-zona-14-area-de-las-americas-daa43589/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 160 m2
Apartamento en renta zona 14 Área de Las Amé...,"$ 2,200","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-zona-14-area-de-las-americas-daa43589/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 160 m2
Apartamento Amueblado en renta zona 14 Tiffa...,"$ 1,850","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-amueblado-en-renta-zona-14-tiffany-5taavenida-daa43586/,Dormitorios: 2,Baños: 2,Tamaño de la propiedad: 125 m2
Apartamento en Zona 14 en Renta,"$ 2,200","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-zona-14-en-renta-daa43582/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 195 m2
APARTAMENTO EN ALQUILER PARQUE 14,"$ 1,200","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-alquiler-parque-14-daa43570/,Dormitorios: 3,Baños: 2,Tamaño de la propiedad: 102 m2
Apto en renta en SANTA INÉS DEL PARQUE zona ...,"$ 2,200 mas iva","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apto-en-renta-en-santa-ines-del-parque-zona-14-daa43567/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 160 m2
APARTAMENTO EN RENTA ZONA 14,"$ 2,200","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-zona-14-daa43564/,Dormitorios: 2,Baños: 2.5,Tamaño de la propiedad: 160 m2
RENTO APTO 2 HAB Z.14 EDIF. SANTORINI EUROPL...,$ 750 800,"Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/rento-apto-2-hab-z14-edif-santorini-europlaza-ref6716-92m2-2-hab-2-banos-2-parqueos-linea-blanca-750-caa13484/,Dormitorios: 2,Baños: 2,Tamaño de la propiedad: 96 m2
"Alquiler de apartamento de 3 dormitorios, At...","$ 1,625","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/alquiler-de-apartamento-de-3-dormitorios-attica-zona-14-daa42956/,Dormitorios: 3,Baños: 3,Tamaño de la propiedad: 139 m2
Se renta increíble Pent House en AVITA zona ...,"$ 7,500","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/se-renta-increible-pent-house-en-avita-zona-14-daa43560/,Dormitorios: 4,Baños: 5,Tamaño de la propiedad: 809 m2
Apartamento en Renta zona 14 la Villa,"$ 1,000","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-renta-zona-14-la-villa-daa43557/,Dormitorios: 2,Baños: 2,Tamaño de la propiedad: 106 m2
Apartamento amueblado en Renta Zona 14,"$ 1,800","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-amueblado-en-renta-zona-14-daa43545/,Dormitorios: 2,Baños: 2.5,No especificado
Apartamento en alquiler amueblado zona 14,$ 900,"Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-alquiler-amueblado-zona-14-daa43541/,Dormitorios: 2,Baños: 2,Tamaño de la propiedad: 120 m2
